path;initialize;begin editing;save;insert document;finish editing;check;start auto finish editing;check mandatory fields;check spelling;check consistency;end auto finish editing;discard;remove document;change department
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;021days 23h 24m 05s;179days 13h 19m 22s;000days 00h 00m 13s;000days 00h 00m 09s;000days 21h 14m 26s;000days 00h 00m 01s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,save,insert document,save,insert document,save,save,save,save,check,finish editing;no data;000days 02h 20m 59s;000days 00h 04m 16s;021days 18h 39m 09s;000days 00h 00m 21s;000days 00h 00m 18s;;;;;;;;
initialize,begin editing,check,insert document,save,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;078days 02h 54m 53s;000days 00h 07m 59s;000days 00h 30m 38s;010days 11h 52m 42s;;;;;;;;
initialize,begin editing,finish editing,finish editing;no data;000days 00h 00m 00s;;;103days 00h 20m 47s;;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;no data;000days 00h 00m 00s;129days 20h 49m 42s;116days 23h 34m 37s;000days 00h 01m 05s;000days 00h 00m 14s;000days 00h 50m 07s;000days 00h 00m 01s;000days 00h 00m 02s;000days 00h 00m 03s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;000days 00h 03m 33s;266days 23h 45m 28s;000days 00h 32m 50s;;000days 19h 27m 52s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,check,insert document,save,check,finish editing;no data;000days 00h 00m 00s;000days 00h 17m 02s;000days 00h 11m 00s;000days 02h 46m 50s;022days 14h 23m 52s;;;;;;;;
initialize,begin editing,insert document,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;073days 03h 19m 31s;028days 03h 02m 41s;003days 11h 19m 46s;;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;097days 14h 15m 28s;178days 01h 44m 05s;000days 00h 00m 05s;;000days 11h 13m 39s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,finish editing,insert document,save,check,finish editing;no data;000days 00h 00m 00s;063days 00h 51m 45s;389days 12h 31m 06s;009days 22h 43m 52s;000days 00h 01m 10s;000days 11h 06m 25s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,save,check,finish editing,insert document,save,finish editing,save,finish editing,save,save,finish editing;no data;000days 00h 00m 00s;095days 22h 10m 59s;076days 08h 20m 50s;000days 00h 00m 06s;000days 00h 00m 09s;;;;;;;;
initialize,begin editing,finish editing,insert document,save,check,finish editing,save,finish editing,finish editing,save,finish editing;no data;000days 00h 00m 00s;027days 16h 29m 57s;000days 00h 03m 17s;067days 15h 28m 35s;000days 00h 00m 20s;;;;;;;;
initialize,begin editing,insert document,save,save,save,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;009days 00h 09m 16s;015days 00h 21m 54s;000days 00h 00m 12s;017days 06h 38m 55s;;;;;;;;
initialize,begin editing,save,finish editing,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;029days 22h 58m 37s;020days 20h 57m 35s;015days 23h 50m 45s;;;;;;;;;
initialize,begin editing,insert document,save,save,check,save,check,check,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;023days 14h 53m 02s;006days 06h 49m 38s;000days 00h 00m 23s;006days 22h 17m 28s;000days 00h 00m 00s;000days 00h 00m 02s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,finish editing;no data;000days 00h 00m 00s;102days 07h 46m 19s;;009days 21h 16m 04s;;000days 11h 12m 21s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;124days 11h 56m 04s;252days 21h 01m 53s;000days 00h 00m 03s;000days 00h 00m 10s;000days 06h 06m 03s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;162days 23h 02m 57s;;000days 00h 00m 00s;;000days 01h 04m 17s;000days 00h 00m 01s;000days 00h 00m 02s;000days 00h 00m 03s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,save,save,finish editing;no data;000days 00h 00m 01s;085days 13h 38m 00s;056days 03h 07m 31s;009days 03h 26m 17s;000days 00h 00m 17s;000days 00h 19m 08s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,save,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;072days 15h 02m 54s;127days 02h 58m 09s;000days 00h 00m 07s;;;;;;;;;
initialize,begin editing,save,insert document,save,check,check,finish editing,insert document,save,save,save,save,save,save,finish editing;no data;001days 01h 24m 52s;000days 00h 02m 52s;003days 23h 12m 26s;000days 00h 00m 42s;010days 23h 10m 21s;;;;;;;;
initialize,begin editing,insert document,save,check,save,check,finish editing,save,finish editing;no data;000days 00h 00m 00s;068days 10h 58m 14s;040days 02h 03m 01s;000days 00h 00m 11s;007days 20h 06m 30s;;;;;;;;
initialize,begin editing,save,insert document,save,insert document,save,save,save,save,save,save,save,save,save,save,save,check,save,check,finish editing,save,finish editing,finish editing;no data;001days 22h 47m 18s;007days 00h 30m 20s;016days 08h 20m 44s;016days 07h 23m 35s;000days 00h 00m 52s;;;;;;;;
initialize,begin editing,save,insert document,save,save,save,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;064days 13h 11m 58s;040days 18h 39m 16s;000days 00h 00m 34s;016days 20h 30m 03s;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,save,finish editing,finish editing;no data;000days 00h 00m 00s;178days 17h 06m 25s;094days 02h 47m 56s;037days 18h 54m 09s;;000days 11h 14m 41s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;011days 16h 06m 59s;036days 19h 25m 04s;000days 00h 00m 03s;030days 15h 41m 48s;000days 00h 00m 00s;000days 00h 00m 02s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 00s;;;
initialize,begin editing,check,save,insert document,save,check,check,finish editing;no data;000days 00h 00m 00s;000days 00h 08m 38s;000days 00h 03m 33s;000days 00h 00m 29s;007days 15h 34m 26s;;;;;;;;
initialize,begin editing,insert document,save,save,save,check,finish editing,save,finish editing;no data;000days 00h 00m 00s;053days 18h 23m 18s;014days 08h 22m 18s;000days 00h 08m 31s;000days 00h 00m 09s;;;;;;;;
initialize,begin editing,save,save,insert document,save,finish editing;no data;014days 02h 20m 40s;005days 08h 16m 45s;000days 00h 05m 34s;000days 00h 04m 20s;;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,finish editing,finish editing;no data;000days 00h 00m 00s;049days 10h 32m 14s;061days 04h 51m 36s;074days 12h 18m 13s;;000days 00h 19m 08s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,finish editing,save,check,finish editing,save,finish editing;no data;000days 00h 00m 00s;075days 13h 16m 50s;092days 02h 20m 53s;010days 12h 35m 17s;000days 00h 00m 10s;000days 01h 26m 38s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,save,finish editing,check,insert document,save,check,finish editing,save,finish editing;no data;000days 00h 00m 00s;049days 04h 24m 15s;000days 00h 28m 38s;000days 00h 00m 19s;000days 10h 03m 33s;;;;;;;;
initialize,begin editing,insert document,save,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing;no data;000days 00h 00m 01s;088days 01h 14m 34s;036days 02h 00m 06s;000days 22h 50m 05s;;;;;;;;;
initialize,begin editing,check,finish editing,insert document,save,check,finish editing;no data;000days 00h 00m 00s;000days 00h 00m 38s;121days 15h 21m 01s;000days 00h 00m 13s;029days 22h 27m 34s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;033days 10h 12m 48s;148days 15h 55m 12s;000days 00h 00m 05s;000days 06h 36m 45s;000days 05h 58m 52s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 01s;035days 13h 35m 18s;120days 09h 06m 27s;000days 00h 00m 17s;;;;;;;;;
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;087days 22h 59m 11s;025days 18h 09m 47s;001days 23h 38m 30s;;;;;;;;;
initialize,begin editing,insert document,save,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;077days 05h 33m 37s;025days 09h 54m 34s;000days 04h 03m 47s;007days 21h 47m 50s;;;;;;;;
initialize,begin editing,insert document,save,check,finish editing;no data;000days 00h 00m 00s;000days 00h 05m 41s;024days 11h 10m 13s;000days 00h 00m 22s;012days 20h 45m 37s;;;;;;;;
initialize,begin editing,check,check,check,insert document,save,check,finish editing,save,finish editing;no data;000days 00h 00m 00s;097days 18h 31m 50s;000days 00h 00m 56s;000days 00h 00m 15s;019days 02h 27m 43s;;;;;;;;
initialize,begin editing,insert document,save,save,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;065days 14h 53m 52s;009days 00h 20m 03s;000days 00h 00m 17s;000days 00h 00m 36s;;;;;;;;
initialize,begin editing,save,check,finish editing,insert document,save,save,save,finish editing;no data;000days 00h 00m 00s;009days 11h 30m 51s;037days 03h 57m 04s;027days 22h 06m 58s;000days 00h 00m 24s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,save,finish editing;no data;000days 00h 00m 00s;054days 19h 35m 40s;;011days 09h 44m 40s;;001days 04h 24m 00s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,check,insert document,save,save,check,save,save,save,save,save,check,save,check,finish editing,save,check,finish editing,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,check,finish editing;no data;000days 00h 00m 01s;025days 16h 22m 21s;000days 00h 48m 13s;001days 15h 51m 29s;000days 01h 09m 20s;;;;;;;;
initialize,insert document,save,begin editing,save,save,save,save,check,save,save,save,insert document,save,save,save,save,save,save,finish editing,save,check,finish editing;no data;001days 18h 00m 06s;010days 02h 08m 20s;001days 10h 37m 04s;000days 00h 00m 35s;000days 00h 00m 08s;;;;;;;;
initialize,begin editing,insert document,save,check,finish editing,check,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;no data;000days 00h 00m 00s;132days 06h 45m 14s;009days 21h 00m 38s;000days 00h 03m 50s;006days 23h 43m 34s;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,check,finish editing,save,finish editing;no data;000days 00h 00m 00s;133days 00h 35m 00s;037days 11h 15m 23s;000days 00h 00m 09s;012days 07h 58m 32s;;;;;;;;
initialize,insert document,save,begin editing,save,save,save,insert document,save,save,save,finish editing,save,save,finish editing;no data;001days 02h 10m 06s;000days 07h 22m 48s;007days 02h 07m 14s;005days 22h 03m 15s;;;;;;;;;
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;;;000days 00h 00m 00s;086days 19h 49m 56s;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 00s;;;
initialize,begin editing,finish editing,save,finish editing,insert document,save,finish editing,finish editing;no data;000days 00h 00m 00s;034days 21h 32m 51s;083days 02h 58m 28s;091days 07h 29m 09s;;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;091days 11h 11m 30s;049days 08h 51m 49s;000days 00h 00m 21s;000days 00h 00m 09s;000days 11h 09m 46s;000days 00h 00m 01s;000days 00h 00m 02s;000days 00h 00m 03s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;080days 20h 03m 12s;305days 06h 30m 35s;000days 00h 00m 19s;;000days 00h 40m 17s;000days 00h 00m 01s;000days 00h 00m 02s;000days 00h 00m 03s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,save,save,finish editing,save,finish editing,finish editing;no data;000days 00h 00m 01s;017days 07h 15m 42s;013days 21h 42m 21s;002days 14h 11m 56s;;;;;;;;;
initialize,begin editing,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;049days 08h 26m 06s;022days 00h 29m 57s;017days 16h 41m 52s;002days 18h 11m 13s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;072days 08h 43m 58s;;000days 00h 00m 02s;000days 15h 15m 15s;000days 15h 01m 37s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;102days 22h 06m 24s;017days 20h 56m 32s;003days 00h 27m 00s;;;;;;;;;
initialize,begin editing,finish editing,insert document,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,check,finish editing,save,save,save,finish editing,save,save,finish editing,finish editing,save,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;030days 09h 33m 40s;000days 00h 06m 29s;005days 01h 46m 44s;002days 00h 20m 06s;;;;;;;;
