path;fail rate in %;bot share in %
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,check,finish editing,save,finish editing,save,check,check,finish editing,save,finish editing,save,finish editing,finish editing,save,check,finish editing;100.0;41.18
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,save,save,check,save,check,check,check,finish editing,save,check,finish editing,save,check,finish editing,finish editing,finish editing,check,finish editing,finish editing,save,check,finish editing;100.0;35.9
initialize,begin editing,insert document,save,check,finish editing,finish editing,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing;100.0;11.11
initialize,begin editing,insert document,save,save,check,save,check,save,save,save,save,save,save,save,save,save,save,finish editing,save,save,save,save,save,save,finish editing,save,finish editing,finish editing,finish editing,save,finish editing,save,finish editing,save,save,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,finish editing,save,save,save,check,finish editing,save,finish editing,save,check,finish editing,save,check,finish editing,finish editing,check,save,check,finish editing,save,check,finish editing;100.0;2.86
initialize,begin editing,insert document,save,save,save,save,check,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing;100.0;12.5
initialize,begin editing,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing,finish editing;100.0;66.67
initialize,begin editing,finish editing,check,finish editing,finish editing,insert document,save,check,finish editing,save,finish editing;100.0;16.67
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save;100.0;58.33
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;100.0;92.0
initialize,begin editing,insert document,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing;100.0;13.33
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing;100.0;74.07
initialize,begin editing,finish editing,insert document,save,finish editing,save,finish editing,finish editing,save,finish editing;100.0;18.18
initialize,begin editing,insert document,save,check,save,check,check,save,check,finish editing,save,check,save,check,finish editing,save,save,save,check,finish editing,save,save,save,save,save,finish editing,save,check,finish editing;100.0;6.67
initialize,begin editing,save,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,finish editing,check,finish editing;100.0;40.91
initialize,begin editing,insert document,save,insert document,save,finish editing,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;11.76
initialize,begin editing,finish editing,insert document,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,save,save,save,save,save,finish editing,save,finish editing,save,finish editing;100.0;8.33
initialize,begin editing,insert document,save,save,check,save,check,finish editing,save,check,finish editing,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,finish editing;100.0;6.25
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,save,check,check,finish editing,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,check,finish editing;100.0;56.76
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,save,finish editing,save,finish editing;100.0;60.87
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing,save,check,finish editing;100.0;50.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing;100.0;48.28
initialize,begin editing,check,finish editing,insert document,save,check,discard,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,save,finish editing,save,save,save;100.0;8.33
initialize,begin editing,insert document,save,save,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,finish editing,finish editing,save,finish editing;100.0;58.33
initialize,begin editing,save,save,insert document,save,check,finish editing,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,finish editing,finish editing,finish editing,check,finish editing,finish editing,save,finish editing;100.0;8.33
initialize,begin editing,check,check,finish editing,insert document,save,finish editing,save,check,finish editing,save,finish editing;100.0;30.77
initialize,begin editing,insert document,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,finish editing,save,finish editing;100.0;39.13
initialize,begin editing,insert document,save,save,save,save,check,finish editing,finish editing,save,save,save,finish editing,save,finish editing,save,finish editing;100.0;11.11
initialize,begin editing,insert document,save,check,save,check,save,finish editing,save,save,save,finish editing,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,save,finish editing,save,finish editing,save,finish editing;100.0;7.14
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,finish editing;100.0;40.0
initialize,begin editing,insert document,save,check,save,save,finish editing,save,check,finish editing;100.0;18.18
initialize,begin editing,insert document,save,check,save,check,save,finish editing,finish editing,save,check,finish editing,insert document,save,finish editing,save,check,finish editing;100.0;10.53
initialize,begin editing,save,finish editing,insert document,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;100.0;56.25
initialize,begin editing,insert document,save,save,save,check,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing,save,save,save,finish editing,finish editing,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,finish editing,save,save,finish editing;100.0;4.0
initialize,begin editing,finish editing,finish editing,finish editing,insert document,save,finish editing;100.0;25.0
initialize,begin editing,insert document,save,finish editing,save,check,save,save,save,finish editing;100.0;18.18
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,save,finish editing,finish editing,save,save,finish editing,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing;100.0;38.46
initialize,begin editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,finish editing,finish editing,insert document,save,finish editing,save,check,finish editing;100.0;58.33
initialize,begin editing,save,check,finish editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;100.0;75.0
initialize,begin editing,check,insert document,save,save,finish editing,save,check,save,finish editing,save,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;100.0;39.13
initialize,begin editing,insert document,save,check,check,check,save,check,finish editing,save,finish editing,save,finish editing,finish editing;100.0;13.33
initialize,begin editing,check,insert document,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing;100.0;15.38
initialize,insert document,save,begin editing,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,insert document,save,check,finish editing,check,finish editing,save,finish editing;100.0;8.82
initialize,begin editing,finish editing,insert document,save,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing,save,finish editing,finish editing,save,check,finish editing,save,finish editing;100.0;7.14
initialize,begin editing,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,save,finish editing;100.0;43.75
initialize,begin editing,finish editing,finish editing,check,finish editing,insert document,save,finish editing,save,finish editing;100.0;18.18
initialize,begin editing,finish editing,insert document,save,finish editing,save,finish editing,save,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,finish editing;100.0;10.0
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;10.0
initialize,begin editing,save,insert document,save,check,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;12.5
initialize,begin editing,insert document,save,save,save,save,finish editing,finish editing,save,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,finish editing;100.0;6.9
initialize,begin editing,insert document,save,check,finish editing,finish editing,finish editing,save,finish editing,save,finish editing,finish editing;100.0;15.38
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,check,finish editing;100.0;11.11
initialize,begin editing,insert document,save,save,check,save,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;9.09
initialize,begin editing,check,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,save,save,check,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;50.0
initialize,begin editing,insert document,save,check,check,finish editing,save,finish editing,discard,save,finish editing,finish editing;100.0;15.38
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,check,finish editing,save,check,finish editing,save,check,finish editing,save,finish editing,finish editing;100.0;50.0
initialize,begin editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,save,finish editing;100.0;15.38
initialize,begin editing,finish editing,insert document,save,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;12.5
initialize,begin editing,check,insert document,save,check,check,finish editing,check,finish editing,check,save,check,finish editing,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,check,finish editing;100.0;31.03
initialize,begin editing,insert document,save,check,save,check,finish editing,save,check,save,save,save,check,finish editing,save,check,finish editing,save,save,finish editing,save,check,finish editing,finish editing,save,check,save,check,finish editing;100.0;6.67
initialize,begin editing,insert document,save,save,finish editing,check,finish editing,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,save,finish editing,save,finish editing;100.0;40.91
initialize,begin editing,insert document,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;14.29
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,finish editing,save,finish editing,save,save,finish editing,save,finish editing,finish editing;100.0;50.0
initialize,begin editing,insert document,save,save,save,save,save,save,save,save,save,save,save,save,finish editing,save,save,save,save,save,check,check,save,check,save,save,save,check,save,save,save,finish editing,save,finish editing,save,save,finish editing,save,finish editing,finish editing,save,finish editing,save,save,finish editing;100.0;4.35
initialize,begin editing,insert document,save,check,check,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing;100.0;12.5
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,check,finish editing,check,insert document,save,check,save,finish editing,save,finish editing;100.0;44.44
initialize,begin editing,insert document,save,check,check,save,finish editing,finish editing,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,save,save,finish editing;100.0;9.09
initialize,begin editing,finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,check,finish editing;100.0;16.67
initialize,begin editing,save,insert document,save,save,save,check,finish editing,save,check,finish editing,save,save,save,save,finish editing,check,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;4.76
initialize,begin editing,insert document,save,check,check,finish editing,save,save,save,save,finish editing,save,finish editing,save,check,finish editing;100.0;11.76
initialize,begin editing,save,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing,finish editing;100.0;14.29
initialize,begin editing,insert document,save,check,save,check,save,check,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;50.0
initialize,begin editing,save,check,finish editing,insert document,save,check,finish editing,save,save,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing;100.0;6.9
initialize,begin editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing;100.0;18.18
initialize,begin editing,insert document,save,finish editing,save,save,finish editing,finish editing,save,finish editing,save,finish editing;100.0;15.38
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing;100.0;42.11
initialize,begin editing,insert document,save,check,insert document,save,finish editing,finish editing,save,finish editing,save,finish editing,finish editing;100.0;14.29
initialize,begin editing,insert document,save,save,check,save,save,check,finish editing,finish editing,save,finish editing;100.0;15.38
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing;100.0;41.18
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,finish editing,save,save,save,finish editing,save,finish editing;100.0;50.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;72.73
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,finish editing,finish editing,finish editing,insert document,save,check,finish editing;100.0;50.0
initialize,begin editing,check,finish editing,insert document,save,check,finish editing,save,check,finish editing,finish editing,save,check,finish editing,save,finish editing;100.0;11.76
initialize,begin editing,insert document,save,save,save,finish editing,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,finish editing;100.0;42.86
initialize,begin editing,check,insert document,save,save,save,save,finish editing,save,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;100.0;45.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;100.0;100.0
initialize,begin editing,check,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,save,finish editing;100.0;75.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,check,save,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;100.0;75.0
initialize,begin editing,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;100.0;92.0
initialize,begin editing,insert document,save,save,save,check,finish editing,save,check,finish editing,save,save,save,save,save,finish editing,check,finish editing;100.0;10.53
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,finish editing,save,check,finish editing,save,check,finish editing,finish editing;100.0;56.0
initialize,begin editing,save,check,insert document,save,finish editing,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,save,save,finish editing;100.0;10.53
initialize,begin editing,check,insert document,save,check,check,save,check,finish editing,save,finish editing,save,finish editing,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,save,finish editing,save,finish editing,save,save,finish editing,finish editing;100.0;21.21
initialize,begin editing,check,check,insert document,save,check,finish editing,save,save,check,check,save,save,save,check,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing,save,save,finish editing,save,finish editing;100.0;19.15
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,finish editing,save,finish editing,finish editing,check,finish editing,save,finish editing,save,finish editing,save,save,save,finish editing;100.0;43.75
initialize,begin editing,insert document,save,save,save,save,check,save,check,finish editing,finish editing,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,check,finish editing;100.0;29.03
initialize,begin editing,check,finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing;100.0;32.0
initialize,begin editing,insert document,save,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing;100.0;50.0
initialize,begin editing,check,insert document,save,check,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;8.7
initialize,begin editing,save,check,finish editing,insert document,save,save,finish editing,save,save,save,save,finish editing;100.0;14.29
initialize,begin editing,insert document,save,finish editing,save,check,finish editing,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing;100.0;42.86
initialize,begin editing,insert document,save,save,finish editing,finish editing,finish editing,finish editing,finish editing,finish editing,save,finish editing;100.0;15.38
initialize,begin editing,insert document,save,save,save,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing;100.0;13.33
initialize,begin editing,finish editing,save,finish editing,insert document,save,finish editing,save,check,finish editing,save,check,check,finish editing;100.0;13.33
initialize,begin editing,check,insert document,save,check,check,finish editing,save,check,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing;100.0;7.41
initialize,begin editing,finish editing,insert document,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,check,finish editing,save,save,save,finish editing,save,save,finish editing,finish editing,save,save,finish editing,save,finish editing;100.0;5.13
initialize,begin editing,save,check,insert document,save,save,save,check,finish editing,save,finish editing,finish editing,finish editing,save,finish editing;100.0;12.5
initialize,begin editing,insert document,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,finish editing,save,finish editing;100.0;11.11
initialize,begin editing,insert document,save,save,check,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;8.33
initialize,begin editing,insert document,save,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing,finish editing,finish editing,finish editing,finish editing,save,finish editing,save,check,finish editing;100.0;33.33
initialize,begin editing,insert document,save,check,check,finish editing,save,finish editing,finish editing,finish editing,finish editing,finish editing,check,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing;100.0;11.54
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,finish editing,save,save,save,finish editing;100.0;58.33
initialize,begin editing,finish editing,insert document,save,check,finish editing,save,save,finish editing,save,finish editing;100.0;16.67
initialize,begin editing,insert document,save,save,save,check,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,save,save,finish editing,save,finish editing,finish editing,finish editing,finish editing;100.0;39.13
initialize,begin editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,save,check,finish editing,finish editing,save,finish editing,save,finish editing;100.0;10.53
initialize,begin editing,insert document,save,finish editing,save,save,finish editing,save,finish editing,finish editing,save,finish editing;100.0;15.38
