path;initialize;begin editing;save;insert document;finish editing;check;start auto finish editing;check mandatory fields;check spelling;check consistency;end auto finish editing;discard;remove document;change department
initialize,begin editing,insert document,save,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,finish editing,finish editing,save,check,finish editing,save,check,finish editing;no data;no data;148days 14h 14m 30s;no data;002days 18h 48m 46s;049days 06h 26m 17s;no data;no data;no data;no data;no data;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing;no data;000days 00h 00m 00s;087days 13h 18m 01s;076days 17h 52m 53s;000days 00h 00m 03s;000days 00h 00m 20s;000days 01h 08m 35s;000days 00h 00m 01s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,check,insert document,save,check,finish editing,save,check,save,finish editing,save,save,check,save,save,check,finish editing;no data;no data;015days 14h 25m 29s;no data;000days 00h 00m 57s;026days 19h 15m 18s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;130days 20h 28m 03s;087days 03h 47m 43s;001days 03h 14m 23s;;000days 20h 34m 57s;000days 00h 00m 00s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;031days 18h 59m 36s;104days 02h 35m 54s;000days 00h 00m 56s;000days 00h 00m 05s;001days 06h 36m 55s;000days 00h 00m 00s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,save,insert document,save,insert document,save,save,save,save,check,finish editing;no data;000days 01h 36m 51s;000days 00h 02m 50s;025days 03h 43m 56s;000days 00h 00m 24s;000days 00h 00m 16s;;;;;;;;
initialize,begin editing,check,insert document,save,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;122days 03h 02m 45s;000days 00h 11m 14s;000days 01h 35m 53s;022days 00h 26m 10s;;;;;;;;
initialize,begin editing,finish editing,finish editing;no data;000days 00h 00m 00s;;;083days 00h 54m 52s;;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;no data;000days 00h 00m 00s;169days 21h 03m 23s;028days 06h 38m 46s;000days 00h 03m 18s;000days 00h 00m 01s;000days 01h 18m 31s;000days 00h 00m 00s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;000days 00h 12m 06s;190days 23h 59m 06s;000days 14h 19m 55s;;006days 03h 31m 09s;000days 00h 00m 00s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,check,insert document,save,check,finish editing;no data;000days 00h 00m 00s;000days 00h 41m 53s;000days 00h 24m 43s;000days 07h 21m 11s;019days 03h 44m 45s;;;;;;;;
initialize,begin editing,insert document,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;119days 22h 32m 37s;026days 15h 39m 55s;011days 17h 18m 13s;;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;140days 22h 29m 17s;165days 13h 31m 12s;000days 00h 00m 04s;;000days 23h 10m 38s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,finish editing,insert document,save,check,finish editing;no data;000days 00h 00m 00s;069days 16h 40m 04s;346days 10h 24m 27s;029days 19h 56m 10s;000days 00h 01m 20s;001days 02h 34m 46s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,save,check,finish editing,insert document,save,finish editing,save,finish editing,save,save,finish editing;no data;no data;195days 15h 25m 53s;no data;000days 00h 00m 01s;no data;;;;;;;;
initialize,begin editing,finish editing,insert document,save,check,finish editing,save,finish editing,finish editing,save,finish editing;no data;no data;047days 22h 03m 46s;no data;118days 06h 14m 19s;no data;;;;;;;;
initialize,begin editing,insert document,save,save,save,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;021days 06h 24m 21s;013days 11h 14m 22s;000days 00h 00m 17s;042days 07h 40m 04s;;;;;;;;
initialize,begin editing,save,finish editing,finish editing,insert document,save,finish editing;no data;no data;042days 08h 44m 55s;no data;027days 16h 50m 19s;;;;;;;;;
initialize,begin editing,insert document,save,save,check,save,check,check,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;no data;044days 21h 00m 33s;no data;000days 00h 00m 30s;013days 20h 30m 11s;no data;no data;no data;no data;no data;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,finish editing;no data;000days 00h 00m 00s;061days 07h 51m 00s;;044days 16h 17m 04s;;000days 21h 28m 30s;000days 00h 00m 00s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;196days 12h 57m 42s;241days 19h 19m 22s;000days 00h 00m 03s;000days 00h 00m 07s;000days 19h 44m 11s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;006days 11h 36m 39s;;000days 00h 00m 00s;;000days 03h 09m 15s;000days 00h 00m 01s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,save,save,finish editing;no data;no data;149days 06h 13m 12s;no data;022days 09h 24m 32s;no data;000days 00h 27m 03s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,save,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;115days 17h 53m 01s;082days 02h 25m 49s;000days 00h 00m 03s;;;;;;;;;
initialize,begin editing,save,insert document,save,check,check,finish editing,insert document,save,save,save,save,save,save,finish editing;no data;no data;000days 00h 02m 21s;005days 14h 38m 26s;000days 00h 00m 38s;015days 12h 10m 49s;;;;;;;;
initialize,begin editing,insert document,save,check,save,check,finish editing,save,finish editing;no data;000days 00h 00m 00s;130days 23h 25m 08s;037days 01h 20m 15s;000days 00h 00m 14s;015days 00h 58m 47s;;;;;;;;
initialize,begin editing,save,insert document,save,insert document,save,save,save,save,save,save,save,save,save,save,save,check,save,check,finish editing,save,finish editing,finish editing;no data;no data;026days 01h 09m 11s;023days 02h 51m 12s;028days 05h 53m 16s;000days 00h 01m 00s;;;;;;;;
initialize,begin editing,save,insert document,save,save,save,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;no data;151days 07h 12m 08s;no data;000days 00h 00m 52s;no data;no data;no data;no data;no data;no data;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,save,finish editing,finish editing;no data;no data;309days 12h 43m 14s;no data;084days 11h 52m 55s;;000days 15h 54m 09s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing;no data;no data;011days 02h 35m 10s;no data;000days 00h 00m 01s;043days 08h 25m 46s;no data;no data;no data;no data;no data;;;
initialize,begin editing,check,save,insert document,save,check,check,finish editing;no data;no data;000days 00h 08m 26s;no data;no data;013days 05h 56m 04s;;;;;;;;
initialize,begin editing,insert document,save,save,save,check,finish editing,save,finish editing;no data;000days 00h 00m 00s;146days 18h 01m 08s;007days 12h 29m 50s;000days 00h 20m 31s;000days 00h 00m 05s;;;;;;;;
initialize,begin editing,save,save,insert document,save,finish editing;no data;no data;009days 05h 54m 21s;no data;no data;;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,finish editing,finish editing;no data;no data;069days 21h 22m 20s;no data;182days 11h 42m 04s;;000days 00h 27m 03s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,finish editing,save,check,finish editing,save,finish editing;no data;no data;095days 15h 54m 27s;no data;029days 18h 25m 21s;no data;000days 02h 02m 32s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,save,finish editing,check,insert document,save,check,finish editing,save,finish editing;no data;no data;061days 15h 26m 55s;no data;000days 00h 00m 07s;000days 14h 13m 05s;;;;;;;;
initialize,begin editing,insert document,save,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing;no data;no data;178days 03h 57m 43s;no data;002days 07h 55m 39s;;;;;;;;;
initialize,begin editing,check,finish editing,insert document,save,check,finish editing;no data;000days 00h 00m 00s;000days 00h 00m 56s;151days 04h 30m 22s;000days 00h 00m 26s;040days 20h 59m 51s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;073days 05h 53m 07s;105days 09h 33m 08s;000days 00h 00m 14s;001days 17h 45m 13s;000days 15h 20m 17s;000days 00h 00m 00s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;no data;055days 08h 52m 47s;no data;000days 00h 00m 17s;;;;;;;;;
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;139days 19h 11m 26s;025days 17h 39m 57s;010days 10h 11m 20s;;;;;;;;;
initialize,begin editing,insert document,save,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;132days 17h 41m 34s;025days 03h 26m 33s;001days 02h 18m 36s;022days 20h 39m 19s;;;;;;;;
initialize,begin editing,insert document,save,check,finish editing;no data;000days 00h 00m 00s;000days 00h 15m 58s;027days 04h 40m 01s;000days 00h 00m 57s;020days 05h 52m 46s;;;;;;;;
initialize,begin editing,check,check,check,insert document,save,check,finish editing,save,finish editing;no data;000days 00h 00m 00s;152days 22h 28m 32s;000days 00h 00m 26s;000days 00h 00m 19s;022days 15h 31m 00s;;;;;;;;
initialize,begin editing,insert document,save,save,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;no data;108days 12h 15m 29s;no data;000days 00h 00m 21s;no data;;;;;;;;
initialize,begin editing,save,check,finish editing,insert document,save,save,save,finish editing;no data;no data;018days 22h 33m 24s;no data;039days 11h 41m 00s;no data;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,save,finish editing;no data;000days 00h 00m 00s;049days 19h 49m 25s;;024days 08h 47m 40s;;001days 08h 31m 55s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,check,insert document,save,save,check,save,save,save,save,save,check,save,check,finish editing,save,check,finish editing,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,check,finish editing;no data;no data;037days 13h 43m 40s;no data;004days 16h 41m 39s;000days 02h 57m 58s;;;;;;;;
initialize,insert document,save,begin editing,save,save,save,save,check,save,save,save,insert document,save,save,save,save,save,save,finish editing,save,check,finish editing;no data;no data;030days 20h 51m 43s;002days 00h 57m 04s;000days 00h 00m 30s;000days 00h 00m 00s;;;;;;;;
initialize,begin editing,insert document,save,check,finish editing,check,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;no data;no data;201days 20h 02m 33s;no data;000days 00h 07m 13s;012days 02h 30m 01s;no data;no data;no data;no data;no data;;;
initialize,begin editing,insert document,save,check,check,finish editing,save,finish editing;no data;000days 00h 00m 00s;189days 07h 38m 57s;050days 19h 18m 24s;000days 00h 00m 06s;019days 02h 19m 21s;;;;;;;;
initialize,insert document,save,begin editing,save,save,save,insert document,save,save,save,finish editing,save,save,finish editing;no data;no data;000days 14h 46m 18s;010days 00h 34m 58s;008days 08h 53m 19s;;;;;;;;;
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;;;000days 00h 00m 00s;043days 22h 13m 44s;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,finish editing,save,finish editing,insert document,save,finish editing,finish editing;no data;no data;049days 08h 28m 07s;no data;137days 14h 57m 09s;;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;126days 16h 13m 43s;078days 09h 20m 06s;000days 00h 00m 51s;000days 00h 00m 05s;001days 02h 35m 41s;000days 00h 00m 01s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;082days 12h 31m 44s;094days 08h 48m 04s;000days 00h 01m 49s;;000days 01h 01m 45s;000days 00h 00m 00s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,save,save,finish editing,save,finish editing,finish editing;no data;no data;034days 14h 22m 45s;no data;004days 11h 43m 49s;;;;;;;;;
initialize,begin editing,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing,save,check,finish editing;no data;no data;081days 20h 55m 15s;no data;053days 02h 04m 56s;007days 07h 03m 55s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;062days 02h 34m 33s;;000days 00h 00m 02s;004days 20h 08m 33s;001days 02h 23m 58s;000days 00h 00m 00s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;168days 09h 38m 54s;014days 02h 06m 22s;010days 20h 11m 31s;;;;;;;;;
initialize,begin editing,finish editing,insert document,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,check,finish editing,save,save,save,finish editing,save,save,finish editing,finish editing,save,save,finish editing,save,finish editing;no data;no data;044days 08h 56m 32s;no data;015days 07h 14m 55s;003days 11h 32m 36s;;;;;;;;
initialize,begin editing,insert document,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,check,finish editing,save,finish editing;no data;no data;114days 03h 17m 06s;no data;000days 00h 00m 12s;016days 00h 32m 20s;no data;no data;no data;no data;no data;;;
initialize,begin editing,insert document,save,check,finish editing,save,finish editing,save,save,finish editing;no data;000days 00h 00m 00s;197days 06h 57m 23s;026days 02h 26m 53s;000days 00h 36m 40s;015days 09h 05m 01s;;;;;;;;
initialize,begin editing,check,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,check,save,finish editing,finish editing;no data;no data;073days 07h 00m 14s;no data;074days 20h 02m 31s;026days 20h 48m 55s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;000days 00h 16m 08s;042days 14h 34m 13s;000days 00h 00m 00s;021days 21h 16m 08s;038days 02h 44m 46s;000days 00h 00m 00s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,save,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;no data;012days 22h 37m 57s;no data;000days 00h 00m 26s;;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,save,save,check,finish editing,save,check,finish editing;no data;no data;041days 22h 28m 41s;no data;000days 00h 00m 31s;012days 16h 45m 58s;000days 01h 32m 50s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;000days 00h 01m 50s;103days 14h 59m 21s;093days 17h 53m 34s;;065days 09h 00m 46s;000days 00h 00m 00s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,insert document,begin editing,save,save,save,finish editing;no data;no data;019days 13h 49m 56s;no data;no data;;;;;;;;;
